Total images: 7049
Detected images: 6994
Not detected images: 55
Average accuracy: 98.99213611667143%
image_index,detected,accuracy
920,True,1.0
921,True,1.0
922,True,1.0
923,True,1.0
924,True,1.0
925,True,1.0
926,True,1.0
927,True,0.9666666666666667
928,True,1.0
929,True,1.0
930,True,1.0
931,True,1.0
932,True,0.9666666666666667
933,True,1.0
934,True,1.0
935,True,1.0
936,True,1.0
937,True,1.0
938,True,1.0
939,True,1.0
940,True,1.0
941,True,1.0
942,True,1.0
943,True,1.0
944,True,1.0
945,True,1.0
946,True,1.0
947,True,1.0
948,True,1.0
949,True,1.0
950,True,1.0
951,True,1.0
952,True,1.0
953,True,1.0
954,True,1.0
955,True,1.0
956,True,1.0
957,True,1.0
958,True,1.0
959,True,1.0
960,True,1.0
961,True,1.0
962,True,1.0
963,True,1.0
964,True,1.0
965,True,1.0
966,True,1.0
967,True,1.0
968,True,1.0
969,True,1.0
970,True,1.0
971,True,1.0
972,True,1.0
973,True,1.0
974,True,1.0
975,True,1.0
976,True,1.0
977,True,1.0
978,True,0.9666666666666667
979,True,1.0
980,True,0.9666666666666667
981,True,0.9666666666666667
982,True,1.0
983,True,1.0
984,True,1.0
985,True,1.0
986,True,1.0
987,True,0.9666666666666667
988,True,1.0
989,True,1.0
990,True,1.0
991,True,0.9666666666666667
992,True,1.0
993,True,1.0
994,True,1.0
995,True,1.0
996,True,1.0
997,True,0.9666666666666667
998,True,1.0
999,True,0.9666666666666667
1000,True,1.0
1001,True,1.0
1002,True,0.9666666666666667
1003,True,1.0
1004,True,1.0
1005,True,1.0
1006,True,1.0
1007,True,1.0
1008,True,1.0
1009,True,1.0
1010,True,1.0
1011,True,1.0
1012,True,1.0
1013,True,1.0
1014,True,1.0
1015,True,1.0
1016,True,1.0
1017,True,1.0
1018,True,1.0
1019,True,1.0
1020,True,1.0
1021,True,1.0
1022,True,1.0
1023,True,1.0
1024,True,1.0
1025,True,1.0
1026,True,1.0
1027,True,0.9666666666666667
1028,True,1.0
1029,True,1.0
1030,True,0.9666666666666667
1031,True,1.0
1032,True,1.0
1033,True,1.0
1034,True,0.9666666666666667
1035,True,1.0
1036,True,1.0
1037,True,1.0
1038,True,1.0
1039,True,1.0
1040,True,1.0
1041,True,1.0
1042,True,1.0
1043,True,1.0
1044,True,1.0
1045,True,0.9666666666666667
1046,True,1.0
1047,True,1.0
1048,True,1.0
1049,True,1.0
1050,True,1.0
1051,True,1.0
1052,True,1.0
1053,True,1.0
1054,True,0.9666666666666667
1055,True,1.0
1056,True,1.0
1057,True,1.0
1058,True,1.0
1059,True,1.0
1060,True,1.0
1061,True,1.0
1062,True,1.0
1063,True,1.0
1064,True,1.0
1065,True,1.0
1066,True,1.0
1067,True,0.9666666666666667
1068,True,1.0
1069,True,1.0
1070,True,0.9666666666666667
1071,True,1.0
1072,True,1.0
1073,True,1.0
1074,True,1.0
1075,True,1.0
1076,True,1.0
1077,True,1.0
1078,True,0.9666666666666667
1079,True,1.0
1080,True,1.0
1081,True,0.9666666666666667
1082,True,1.0
1083,True,1.0
1084,True,1.0
1085,True,1.0
1086,True,1.0
1087,True,1.0
1088,True,1.0
1089,True,1.0
1090,True,1.0
1091,True,1.0
1092,True,0.9666666666666667
1093,True,1.0
1094,True,1.0
1095,True,1.0
1096,True,1.0
1097,True,1.0
1098,True,1.0
1099,True,0.9666666666666667
1100,True,1.0
1101,True,0.9666666666666667
1102,True,0.9666666666666667
1103,True,1.0
1104,True,1.0
1105,True,0.9666666666666667
1106,True,0.9666666666666667
1107,True,1.0
1108,True,0.9666666666666667
1109,True,1.0
1110,True,1.0
1111,True,0.9666666666666667
1112,True,1.0
1113,True,1.0
1114,True,0.9666666666666667
1115,True,1.0
1116,True,1.0
1117,True,1.0
1118,True,0.9666666666666667
1119,True,1.0
1120,True,0.9666666666666667
1121,True,1.0
1122,True,1.0
1123,True,1.0
1124,True,1.0
1125,True,0.9666666666666667
1126,True,1.0
1127,True,1.0
1128,True,1.0
1129,True,1.0
1130,True,1.0
1131,True,1.0
1132,True,1.0
1133,True,1.0
1134,True,1.0
1135,True,1.0
1136,True,1.0
1137,True,0.9666666666666667
1138,True,1.0
1139,True,1.0
1140,True,1.0
1141,True,1.0
1142,True,1.0
1143,True,1.0
1144,True,1.0
1145,True,1.0
1146,True,1.0
1147,True,1.0
1148,True,1.0
1149,True,1.0
1150,True,1.0
1151,True,1.0
1152,True,1.0
1153,True,1.0
1154,True,1.0
1155,True,1.0
1156,True,1.0
1157,True,1.0
1158,True,1.0
1159,True,0.9666666666666667
1160,True,0.9666666666666667
1161,True,1.0
1162,True,1.0
1163,True,1.0
1164,True,1.0
1165,True,1.0
1166,True,1.0
1167,True,1.0
1168,True,1.0
1169,True,0.9666666666666667
1170,True,1.0
1171,True,1.0
1172,True,1.0
1173,True,1.0
1174,True,1.0
1175,True,0.9666666666666667
1176,True,1.0
1177,True,1.0
1178,True,0.9666666666666667
1179,True,0.9666666666666667
1180,True,1.0
1181,True,0.9666666666666667
1182,True,0.9666666666666667
1183,True,1.0
1184,True,0.9666666666666667
1185,True,0.9666666666666667
1186,True,0.9666666666666667
1187,True,0.9666666666666667
1188,True,0.9666666666666667
1189,True,0.9666666666666667
1190,True,1.0
1191,True,1.0
1192,True,1.0
1193,True,0.9666666666666667
1194,True,0.9666666666666667
1195,True,1.0
1196,True,0.9666666666666667
1197,True,0.9666666666666667
1198,True,1.0
1199,True,1.0
1200,True,0.9666666666666667
1201,True,1.0
1202,True,0.9666666666666667
1203,True,0.9666666666666667
1204,True,0.9666666666666667
1205,True,1.0
1206,True,0.9666666666666667
1207,True,0.9666666666666667
1208,True,0.9666666666666667
1209,True,0.9666666666666667
1210,True,0.9666666666666667
1211,True,1.0
1212,True,1.0
1213,True,1.0
1214,True,0.9666666666666667
1215,True,0.9666666666666667
1216,True,1.0
1217,True,0.9666666666666667
1218,True,1.0
1219,True,0.9666666666666667
1220,True,0.9666666666666667
1221,True,1.0
1222,True,1.0
1223,True,0.9666666666666667
1224,True,0.9666666666666667
1225,True,1.0
1226,True,0.9666666666666667
1227,True,0.9666666666666667
1228,True,0.9666666666666667
1229,True,0.9666666666666667
1230,True,0.9333333333333333
1231,True,0.9666666666666667
1232,True,1.0
1233,True,1.0
1234,True,0.9666666666666667
1235,True,1.0
1236,True,0.9666666666666667
1237,True,0.9666666666666667
1238,True,0.9666666666666667
1239,True,0.9666666666666667
1240,True,0.9666666666666667
1241,True,1.0
1242,True,0.9666666666666667
1243,True,0.9666666666666667
1244,True,0.9666666666666667
1245,True,0.9666666666666667
1246,True,0.9666666666666667
1247,True,0.9666666666666667
1248,True,0.9666666666666667
1249,True,1.0
1250,True,0.9666666666666667
1251,True,0.9666666666666667
1252,True,0.9666666666666667
1253,True,1.0
1254,True,1.0
1255,True,0.9666666666666667
1256,True,0.9666666666666667
1257,True,1.0
1258,True,0.9666666666666667
1259,True,1.0
1260,True,0.9666666666666667
1261,True,0.9666666666666667
1262,True,1.0
1263,True,1.0
1264,True,1.0
1265,True,1.0
1266,True,0.9666666666666667
1267,True,0.9666666666666667
1268,True,0.9666666666666667
1269,True,1.0
1270,True,0.9666666666666667
1271,True,1.0
1272,True,1.0
1273,True,0.9666666666666667
1274,True,0.9666666666666667
1275,True,0.9666666666666667
1276,True,0.9666666666666667
1277,True,0.9666666666666667
1278,True,0.9333333333333333
1279,True,0.9666666666666667
1280,True,0.9666666666666667
1281,True,0.9666666666666667
1282,True,1.0
1283,True,1.0
1284,True,1.0
1285,True,0.9666666666666667
1286,True,0.9666666666666667
1287,True,0.9666666666666667
1288,True,0.9666666666666667
1289,True,1.0
1290,True,1.0
1291,True,1.0
1292,True,1.0
1293,True,0.9666666666666667
1294,True,0.9666666666666667
1295,True,1.0
1296,True,0.9666666666666667
1297,True,0.9666666666666667
1298,True,1.0
1299,True,0.9666666666666667
1300,True,0.9666666666666667
1301,True,0.9666666666666667
1302,True,0.9666666666666667
1303,True,0.9666666666666667
1304,True,0.9666666666666667
1305,True,0.9666666666666667
1306,True,0.9666666666666667
1307,True,1.0
1308,True,0.9666666666666667
1309,True,0.9666666666666667
1310,True,1.0
1311,True,1.0
1312,True,1.0
1313,True,0.9666666666666667
1314,True,1.0
1315,True,0.9666666666666667
1316,True,1.0
1317,True,0.9666666666666667
1318,True,1.0
1319,True,0.9666666666666667
1320,True,0.9666666666666667
1321,True,1.0
1322,True,1.0
1323,True,0.9666666666666667
1324,True,1.0
1325,True,1.0
1326,True,1.0
1327,True,0.9666666666666667
1328,True,1.0
1329,True,0.9666666666666667
1330,True,1.0
1331,True,1.0
1332,True,1.0
1333,True,0.9666666666666667
1334,True,0.9666666666666667
1335,True,0.9666666666666667
1336,True,0.9666666666666667
1337,True,0.9666666666666667
1338,True,0.9666666666666667
1339,True,0.9666666666666667
1340,True,0.9666666666666667
1341,True,0.9666666666666667
1342,True,0.9666666666666667
1343,True,1.0
1344,True,1.0
1345,True,1.0
1346,True,0.9666666666666667
1347,True,1.0
1348,True,0.9666666666666667
1349,True,1.0
1350,True,0.9666666666666667
1351,True,1.0
1352,True,1.0
